Name,Position,HS,City,State,Height,Inches,Weight,CompRating,Offerer,Year,NatRank,PosRank,StRank,Stars,CommittedTo,15,Place,lon,lat
Nick Singleton,RB,Governor Mifflin,Reading,PA,6,0,210,0.986,Alabama,2022,31,1,1,5,Penn State,//247sports.com/player/nick-singleton-46084442,"Governor Mifflin, Reading, PA",-75.96954649999999,40.2421244
Emmanuel Henderson,RB,Geneva County,Hartford,AL,6,1,185,0.981,Alabama,2022,40,2,2,4,Alabama,//247sports.com/player/emmanuel-henderson-46095004,"Geneva County, Hartford, AL",-85.6968778,31.1023998
Raleek Brown,RB,Mater Dei,Santa Ana,CA,5,8,185,0.9808,Alabama,2022,42,3,2,4,USC,//247sports.com/player/raleek-brown-46053600,"Mater Dei, Santa Ana, CA",-117.8841454,33.7262194
Branson Robinson,RB,Germantown,Madison,MS,5,10,220,0.9729,Alabama,2022,62,4,1,4,Georgia,//247sports.com/player/branson-robinson-46099865,"Germantown, Madison, MS",-90.1129645,32.5352413
Le'Veon Moss,RB,Istrouma,Baton Rouge,LA,6,0,190,0.9652,Alabama,2022,82,5,7,4,Texas A&M,//247sports.com/player/leveon-moss-46082704,"Istrouma, Baton Rouge, LA",-91.1598291,30.4790789
Jamarion Miller,RB,Tyler Legacy,Tyler,TX,5,10,195,0.9629,Alabama,2022,87,6,15,4,Alabama,//247sports.com/player/jamarion-miller-46058624,"Tyler Legacy, Tyler, TX",-95.2966156,32.2987518
Gavin Sawchuk,RB,Valor Christian,Littleton,CO,5,11,185,0.9584,Alabama,2022,98,7,1,4,Oklahoma,//247sports.com/player/gavin-sawchuk-46080732,"Valor Christian, Littleton, CO",-104.9448572,39.54051500000001
George Pettaway,RB,Nansemond-Suffolk Academy,Suffolk,VA,5,11,190,0.9582,Alabama,2022,99,8,4,4,North Carolina,//247sports.com/player/george-pettaway-46085745,"Nansemond-Suffolk Academy, Suffolk, VA",-76.6206026,36.7753411
Jovantae Barnes,RB,Desert Pines,Las Vegas,NV,6,0,190,0.9532,Alabama,2022,115,10,3,4,Oklahoma,//247sports.com/player/jovantae-barnes-46094222,"Desert Pines, Las Vegas, NV",-115.0999173,36.1730039
Kaytron Allen,RB,IMG Academy,Bradenton,FL,5,11,220,0.9385,Alabama,2022,155,12,19,4,Penn State,//247sports.com/player/kaytron-allen-46079018,"IMG Academy, Bradenton, FL",-82.605312,27.4408855
Tavorus Jones,RB,Burges,El Paso,TX,5,10,195,0.9319,Alabama,2022,169,13,26,4,Missouri,//247sports.com/player/tavorus-jones-46101298,"Burges, El Paso, TX",-106.3846235,31.7848729
Trevor Etienne,RB,Jennings,Jennings,LA,5,9,218,0.9261,Alabama,2022,189,14,14,4,Florida,//247sports.com/player/trevor-etienne-46084031,"Jennings, Jennings, LA",-92.657085,30.22242839999999
